127.0.0.1 - - [26/Jun/2023:09:43:13 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Jun/2023:09:43:13 +0900] "GET /01_css/day02/Ex01_Overflow.html HTTP/1.1" 200 1312
0:0:0:0:0:0:0:1 - - [26/Jun/2023:09:43:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jun/2023:09:51:38 +0900] "GET /01_css/day02/Ex01_Overflow.html HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [26/Jun/2023:09:52:07 +0900] "GET /01_css/day02/Ex01_Overflow.html HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [26/Jun/2023:09:52:19 +0900] "GET /01_css/day02/Ex01_Overflow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2023:09:52:19 +0900] "GET /01_css/day02/Ex01_Overflow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2023:09:52:22 +0900] "GET /01_css/day02/Ex01_Overflow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2023:09:52:23 +0900] "GET /01_css/day02/Ex01_Overflow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2023:09:52:23 +0900] "GET /01_css/day02/Ex01_Overflow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2023:09:52:23 +0900] "GET /01_css/day02/Ex01_Overflow.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2023:09:52:25 +0900] "GET /01_css/day02/Ex01_Overflow.html HTTP/1.1" 200 1699
0:0:0:0:0:0:0:1 - - [26/Jun/2023:09:52:33 +0900] "GET /01_css/day02/Ex01_Overflow.html HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [26/Jun/2023:09:52:58 +0900] "GET /01_css/day02/Ex01_Overflow.html HTTP/1.1" 200 1702
